,subject,num_courses,total_enrollment,avg_weeks_per_course,min_price,max_price,avg_price
0,Computer Science,166,12447737,6.5120481927710845,49.0,399.6,125.0120481927711
1,Business & Management,164,7076563,6.774390243902439,5.0,399.0,132.54268292682926
2,Communication,39,4641327,5.153846153846154,5.0,199.0,95.28205128205128
3,Data Analysis & Statistics,72,4264412,6.125,25.0,350.0,92.63875
4,Humanities,64,3504140,6.234375,29.0,149.0,66.01546875
5,Social Sciences,51,1844379,7.0,25.0,199.0,75.80392156862744
6,Biology & Life Sciences,35,1763832,6.942857142857143,29.0,249.0,88.51428571428572
7,Engineering,58,1396839,7.344827586206897,25.0,299.0,116.98275862068965
8,Language,34,1063257,5.794117647058823,49.0,149.0,82.70588235294117
9,Medicine,31,989765,6.451612903225806,10.0,199.0,101.38709677419355
10,Math,31,963753,7.096774193548387,25.0,199.0,72.35483870967742
11,Economics & Finance,46,835907,6.239130434782608,5.0,450.0,75.6495652173913
12,Education & Teacher Training,29,706532,6.172413793103448,25.0,299.0,83.06896551724138
13,Physics,18,580559,9.777777777777779,49.0,169.0,69.77777777777777
