,course_title,subject,num_subscribers,url
0,Learn HTML5 Programming From Scratch,Web Development,268923,https://www.udemy.com/learn-html5-programming-from-scratch/
1,Coding for Entrepreneurs Basic,Web Development,161029,https://www.udemy.com/coding-for-entrepreneurs-basic/
2,The Web Developer Bootcamp,Web Development,121584,https://www.udemy.com/the-web-developer-bootcamp/
3,Build Your First Website in 1 Week with HTML5 and CSS3,Web Development,120291,https://www.udemy.com/build-your-first-website-in-1-week/
4,The Complete Web Developer Course 2.0,Web Development,114512,https://www.udemy.com/the-complete-web-developer-course-2/
5,Free Beginner Electric Guitar Lessons,Musical Instruments,101154,https://www.udemy.com/beginner-electric-guitar-lessons/
6,Web Design for Web Developers: Build Beautiful Websites!,Web Development,98867,https://www.udemy.com/web-design-secrets/
7,Learn Javascript & JQuery From Scratch,Web Development,84897,https://www.udemy.com/learn-javascript-jquery-from-scratch/
8,Practical PHP: Master the Basics and Code Dynamic Websites,Web Development,83737,https://www.udemy.com/code-dynamic-websites/
9,JavaScript: Understanding the Weird Parts,Web Development,79612,https://www.udemy.com/understand-javascript/
